"","Forma_i_poziom","Przedmiot","Liczba godzin","Punkty ECTS","Forma weryfikacji","Kod","Blok"
"34","Bachelor in Business Administration (stacjonarne I stopnia)","Spanish","Æwiczenia: 30","2","Zaliczenie","3","D(A)"
"35","Bachelor in Business Administration (stacjonarne I stopnia)","International economic relations","Wyk³ad: 30
                                                                                Æwiczenia: 30","5","Egzamin","1","B"
"36","Bachelor in Business Administration (stacjonarne I stopnia)","Principles of corporate finance","Wyk³ad: 15
                                                                                Æwiczenia: 30","5","Egzamin","1","B"
"37","Bachelor in Business Administration (stacjonarne I stopnia)","Suma","135","12","","",""
"38","Bachelor in Business Administration (stacjonarne I stopnia)","Suma (Æwiczenia)","90","","","",""
"39","Bachelor in Business Administration (stacjonarne I stopnia)","Suma (Wyk³ad)","45","","","",""
"40","Bachelor in Business Administration (stacjonarne I stopnia)","Specjalnoœæ: Global Economics",NA,NA,NA,NA,NA
"41","Bachelor in Business Administration (stacjonarne I stopnia)","Przedmiot","Liczba godzin","Punkty ECTS","Forma weryfikacji","Kod","Blok"
"42","Bachelor in Business Administration (stacjonarne I stopnia)","Comparative political economy","Wyk³ad: 15
                                                                                Æwiczenia: 30","4","Zaliczenie","1","C"
"43","Bachelor in Business Administration (stacjonarne I stopnia)","Consumer culture and marketing","Wyk³ad: 30
                                                                                Æwiczenia: 30","6","Zaliczenie","1","C"
"44","Bachelor in Business Administration (stacjonarne I stopnia)","Geopolitics","Wyk³ad: 30","4","Egzamin","1","C"
"45","Bachelor in Business Administration (stacjonarne I stopnia)","International development","Wyk³ad: 15
                                                                                Æwiczenia: 30","4","Egzamin","1","C"
"46","Bachelor in Business Administration (stacjonarne I stopnia)","Suma","180","18","","",""
"47","Bachelor in Business Administration (stacjonarne I stopnia)","Suma (Kierunek
        + Specjalnoœæ)","315","30","","",""
"48","Bachelor in Business Administration (stacjonarne I stopnia)","Suma (Wyk³ad)","90","","","",""
"49","Bachelor in Business Administration (stacjonarne I stopnia)","Suma (Æwiczenia)","90","","","",""
"50","Bachelor in Business Administration (stacjonarne I stopnia)","Specjalnoœæ: International Business and Management",NA,NA,NA,NA,NA
"51","Bachelor in Business Administration (stacjonarne I stopnia)","Przedmiot","Liczba godzin","Punkty ECTS","Forma weryfikacji","Kod","Blok"
"52","Bachelor in Business Administration (stacjonarne I stopnia)","Digital marketing in international marketplace","Wyk³ad: 15
                                                                                Æwiczenia: 30","4","Zaliczenie","1","C"
"53","Bachelor in Business Administration (stacjonarne I stopnia)","Foreign market entry and growth","Wyk³ad: 30","2","Egzamin","1","C"
"54","Bachelor in Business Administration (stacjonarne I stopnia)","International strategic management","Wyk³ad: 30
                                                                                Æwiczenia: 30","6","Egzamin","1","C"
"55","Bachelor in Business Administration (stacjonarne I stopnia)","Managerial accounting","Wyk³ad: 15
                                                                                Æwiczenia: 30","6","Egzamin","1","C"
"56","Bachelor in Business Administration (stacjonarne I stopnia)","Suma","180","18","","",""
"57","Bachelor in Business Administration (stacjonarne I stopnia)","Suma (Kierunek
        + Specjalnoœæ)","315","30","","",""
"58","Bachelor in Business Administration (stacjonarne I stopnia)","Suma (Wyk³ad)","90","","","",""
"59","Bachelor in Business Administration (stacjonarne I stopnia)","Suma (Æwiczenia)","90","","","",""
"60","Bachelor in Business Administration (stacjonarne I stopnia)","Przedmiot","Liczba godzin","Punkty ECTS","Forma weryfikacji","Kod","Blok"
"61","Bachelor in Business Administration (stacjonarne I stopnia)","Elective course","Wyk³ad: 120","12","Zaliczenie","0","B"
"62","Bachelor in Business Administration (stacjonarne I stopnia)","Corporate crisis management","Wyk³ad: 30","3","Zaliczenie","0","B"
"63","Bachelor in Business Administration (stacjonarne I stopnia)","Data collection and visualisation","Wyk³ad: 30","3","Zaliczenie","0","B"
"64","Bachelor in Business Administration (stacjonarne I stopnia)","Digital transformation and information economy","Wyk³ad: 30","3","Zaliczenie","0","B"
"65","Bachelor in Business Administration (stacjonarne I stopnia)","Ethics and global governance","Wyk³ad: 30","3","Zaliczenie","0","B"
"66","Bachelor in Business Administration (stacjonarne I stopnia)","Event management","Wyk³ad: 30","3","Zaliczenie","0","B"
"67","Bachelor in Business Administration (stacjonarne I stopnia)","International logistics","Wyk³ad: 30","3","Zaliczenie","0","B"
"68","Bachelor in Business Administration (stacjonarne I stopnia)","Foreign language","Æwiczenia: 30","2","Zaliczenie","1","D(A)"
"69","Bachelor in Business Administration (stacjonarne I stopnia)","Business English","Æwiczenia: 30","2","Zaliczenie","3","D(A)"
"70","Bachelor in Business Administration (stacjonarne I stopnia)","French","Æwiczenia: 30","2","Zaliczenie","3","D(A)"
"71","Bachelor in Business Administration (stacjonarne I stopnia)","German","Æwiczenia: 30","2","Zaliczenie","3","D(A)"
"72","Bachelor in Business Administration (stacjonarne I stopnia)","Russian","Æwiczenia: 30","2","Zaliczenie","3","D(A)"
"73","Bachelor in Business Administration (stacjonarne I stopnia)","Spanish","Æwiczenia: 30","2","Zaliczenie","3","D(A)"
"74","Bachelor in Business Administration (stacjonarne I stopnia)","Market research","Wyk³ad: 15
                                                                                Æwiczenia: 30","3","Egzamin","1","B"
"75","Bachelor in Business Administration (stacjonarne I stopnia)","Seminars","Æwiczenia: 15","2","Zaliczenie","1","B"
"76","Bachelor in Business Administration (stacjonarne I stopnia)","Suma","210","19","","",""
"77","Bachelor in Business Administration (stacjonarne I stopnia)","Suma (Wyk³ad)","135","","","",""
"78","Bachelor in Business Administration (stacjonarne I stopnia)","Suma (Æwiczenia)","75","","","",""
"79","Bachelor in Business Administration (stacjonarne I stopnia)","Specjalnoœæ: Global Economics",NA,NA,NA,NA,NA
"80","Bachelor in Business Administration (stacjonarne I stopnia)","Przedmiot","Liczba godzin","Punkty ECTS","Forma weryfikacji","Kod","Blok"
"81","Bachelor in Business Administration (stacjonarne I stopnia)","Business, politics and society","Wyk³ad: 30","4","Egzamin","1","C"
"82","Bachelor in Business Administration (stacjonarne I stopnia)","Geoeconomics","Wyk³ad: 30","4","Egzamin","1","C"
"83","Bachelor in Business Administration (stacjonarne I stopnia)","Sociology","Wyk³ad: 30","3","Egzamin","1","C"
"84","Bachelor in Business Administration (stacjonarne I stopnia)","Suma","90","11","","",""
"85","Bachelor in Business Administration (stacjonarne I stopnia)","Suma (Kierunek
        + Specjalnoœæ)","300","30","","",""
"86","Bachelor in Business Administration (stacjonarne I stopnia)","Suma (Wyk³ad)","90","","","",""
"87","Bachelor in Business Administration (stacjonarne I stopnia)","Specjalnoœæ: International Business and Management",NA,NA,NA,NA,NA
"88","Bachelor in Business Administration (stacjonarne I stopnia)","Przedmiot","Liczba godzin","Punkty ECTS","Forma weryfikacji","Kod","Blok"
"89","Bachelor in Business Administration (stacjonarne I stopnia)","Entrepreneurship and innovation","Wyk³ad: 15
                                                                                Æwiczenia: 30","5","Zaliczenie","1","C"
"90","Bachelor in Business Administration (stacjonarne I stopnia)","Exporting and importing","Wyk³ad: 15
                                                                                Æwiczenia: 30","6","Egzamin","1","C"
"91","Bachelor in Business Administration (stacjonarne I stopnia)","Suma","90","11","","",""
"92","Bachelor in Business Administration (stacjonarne I stopnia)","Suma (Kierunek
        + Specjalnoœæ)","300","30","","",""
"93","Bachelor in Business Administration (stacjonarne I stopnia)","Suma (Wyk³ad)","30","","","",""
"94","Bachelor in Business Administration (stacjonarne I stopnia)","Suma (Æwiczenia)","60","","","",""
"95","Bachelor in Business Administration (stacjonarne I stopnia)","Przedmiot","Liczba godzin","Punkty ECTS","Forma weryfikacji","Kod","Blok"
"96","Bachelor in Business Administration (stacjonarne I stopnia)","Applied quantitative methods (with R)","Wyk³ad: 15
                                                                                Æwiczenia: 30","5","Egzamin","1","B"
"97","Bachelor in Business Administration (stacjonarne I stopnia)","Cultural diversity and customer behaviour","Wyk³ad: 30
                                                                                Æwiczenia: 30","5","Egzamin","1","B"
"98","Bachelor in Business Administration (stacjonarne I stopnia)","Foreign language","Æwiczenia: 30","2","Egzamin","1","D(A)"
"99","Bachelor in Business Administration (stacjonarne I stopnia)","Business English","Æwiczenia: 30","2","Egzamin","3","D(A)"
"100","Bachelor in Business Administration (stacjonarne I stopnia)","French","Æwiczenia: 30","2","Egzamin","3","D(A)"
"101","Bachelor in Business Administration (stacjonarne I stopnia)","German","Æwiczenia: 30","2","Egzamin","3","D(A)"
"102","Bachelor in Business Administration (stacjonarne I stopnia)","Russian","Æwiczenia: 30","2","Egzamin","3","D(A)"
"103","Bachelor in Business Administration (stacjonarne I stopnia)","Spanish","Æwiczenia: 30","2","Egzamin","3","D(A)"
"104","Bachelor in Business Administration (stacjonarne I stopnia)","Seminars","Æwiczenia: 15","2","Zaliczenie","1","B"
"105","Bachelor in Business Administration (stacjonarne I stopnia)","Suma","150","14","","",""
"106","Bachelor in Business Administration (stacjonarne I stopnia)","Suma (Wyk³ad)","45","","","",""
"107","Bachelor in Business Administration (stacjonarne I stopnia)","Suma (Æwiczenia)","105","","","",""
"108","Bachelor in Business Administration (stacjonarne I stopnia)","Specjalnoœæ: Global Economics",NA,NA,NA,NA,NA
"109","Bachelor in Business Administration (stacjonarne I stopnia)","Przedmiot","Liczba godzin","Punkty ECTS","Forma weryfikacji","Kod","Blok"
"110","Bachelor in Business Administration (stacjonarne I stopnia)","Applied macroeconomic analysis","Wyk³ad: 15
                                                                                Æwiczenia: 15","4","Zaliczenie","1","C"
"111","Bachelor in Business Administration (stacjonarne I stopnia)","Global financial markets and instruments","Wyk³ad: 15
                                                                                Æwiczenia: 15","3","Zaliczenie","1","C"
"112","Bachelor in Business Administration (stacjonarne I stopnia)","Globalization: economics, politics and business","Wyk³ad: 30
                                                                                Æwiczenia: 30","6","Egzamin","1","C"
"113","Bachelor in Business Administration (stacjonarne I stopnia)","World economic history","Wyk³ad: 30","3","Egzamin","1","C"
"114","Bachelor in Business Administration (stacjonarne I stopnia)","Suma","150","16","","",""
"115","Bachelor in Business Administration (stacjonarne I stopnia)","Suma (Kierunek
        + Specjalnoœæ)","300","30","","",""
"116","Bachelor in Business Administration (stacjonarne I stopnia)","Suma (Wyk³ad)","90","","","",""
"117","Bachelor in Business Administration (stacjonarne I stopnia)","Suma (Æwiczenia)","60","","","",""
"118","Bachelor in Business Administration (stacjonarne I stopnia)","Specjalnoœæ: International Business and Management",NA,NA,NA,NA,NA
"119","Bachelor in Business Administration (stacjonarne I stopnia)","Przedmiot","Liczba godzin","Punkty ECTS","Forma weryfikacji","Kod","Blok"
"120","Bachelor in Business Administration (stacjonarne I stopnia)","Applied project management","Wyk³ad: 15
                                                                                Æwiczenia: 30","4","Egzamin","1","C"
"121","Bachelor in Business Administration (stacjonarne I stopnia)","Business financing","Wyk³ad: 30","3","Zaliczenie","1","C"
"122","Bachelor in Business Administration (stacjonarne I stopnia)","E-business","Wyk³ad: 30","3","Egzamin","1","C"
"123","Bachelor in Business Administration (stacjonarne I stopnia)","Elective course","Wyk³ad: 30","3","Zaliczenie","0","C"
"124","Bachelor in Business Administration (stacjonarne I stopnia)","Consumer behaviour - new trends and technologies","Wyk³ad: 30","3","Zaliczenie","0","C"
"125","Bachelor in Business Administration (stacjonarne I stopnia)","Currency trading and intermarket analysis","Wyk³ad: 30","3","Zaliczenie","0","C"
"126","Bachelor in Business Administration (stacjonarne I stopnia)","International trade - advanced course","Wyk³ad: 30","3","Egzamin","1","C"
"127","Bachelor in Business Administration (stacjonarne I stopnia)","Suma","165","16","","",""
"128","Bachelor in Business Administration (stacjonarne I stopnia)","Suma (Kierunek
        + Specjalnoœæ)","315","30","","",""
"129","Bachelor in Business Administration (stacjonarne I stopnia)","Suma (Wyk³ad)","135","","","",""
"130","Bachelor in Business Administration (stacjonarne I stopnia)","Suma (Æwiczenia)","30","","","",""
"131","Bachelor in Business Administration (stacjonarne I stopnia)","Przedmiot","Liczba godzin","Punkty ECTS","Forma weryfikacji","Kod","Blok"
"132","Bachelor in Business Administration (stacjonarne I stopnia)","Seminars","Æwiczenia: 30","7","Zaliczenie","1","B"
"133","Bachelor in Business Administration (stacjonarne I stopnia)","Sustainability in business and economics","Wyk³ad: 30","3","Egzamin","1","B"
"134","Bachelor in Business Administration (stacjonarne I stopnia)","Suma","60","10","","",""
"135","Bachelor in Business Administration (stacjonarne I stopnia)","Suma (Æwiczenia)","30","","","",""
"136","Bachelor in Business Administration (stacjonarne I stopnia)","Suma (Wyk³ad)","30","","","",""
"137","Bachelor in Business Administration (stacjonarne I stopnia)","Specjalnoœæ: Global Economics",NA,NA,NA,NA,NA
"138","Bachelor in Business Administration (stacjonarne I stopnia)","Przedmiot","Liczba godzin","Punkty ECTS","Forma weryfikacji","Kod","Blok"
"139","Bachelor in Business Administration (stacjonarne I stopnia)","Elective course","Wyk³ad: 120","16","Zaliczenie","0","C"
"140","Bachelor in Business Administration (stacjonarne I stopnia)","Behavioral economics","Wyk³ad: 30","4","Zaliczenie","0","C"
"141","Bachelor in Business Administration (stacjonarne I stopnia)","Development economics","Wyk³ad: 30","4","Zaliczenie","0","C"
"142","Bachelor in Business Administration (stacjonarne I stopnia)","Economic psychology","Wyk³ad: 30","4","Zaliczenie","0","C"
"143","Bachelor in Business Administration (stacjonarne I stopnia)","Labour economics","Wyk³ad: 30","4","Zaliczenie","0","C"
"144","Bachelor in Business Administration (stacjonarne I stopnia)","Modern philosophy","Wyk³ad: 30","4","Zaliczenie","0","C"
"145","Bachelor in Business Administration (stacjonarne I stopnia)","Social psychology","Wyk³ad: 30","4","Zaliczenie","0","C"
"146","Bachelor in Business Administration (stacjonarne I stopnia)","Industrial organization","Wyk³ad: 30","2","Egzamin","1","C"
"147","Bachelor in Business Administration (stacjonarne I stopnia)","International trade policy","Wyk³ad: 30","2","Egzamin","1","C"
"148","Bachelor in Business Administration (stacjonarne I stopnia)","Suma","180","20","","",""
"149","Bachelor in Business Administration (stacjonarne I stopnia)","Suma (Kierunek
        + Specjalnoœæ)","240","30","","",""
"150","Bachelor in Business Administration (stacjonarne I stopnia)","Suma (Wyk³ad)","180","","","",""
"151","Bachelor in Business Administration (stacjonarne I stopnia)","Specjalnoœæ: International Business and Management",NA,NA,NA,NA,NA
"152","Bachelor in Business Administration (stacjonarne I stopnia)","Przedmiot","Liczba godzin","Punkty ECTS","Forma weryfikacji","Kod","Blok"
"153","Bachelor in Business Administration (stacjonarne I stopnia)","Business plan essentials","Wyk³ad: 15","3","Zaliczenie","1","C"
"154","Bachelor in Business Administration (stacjonarne I stopnia)","Elective course","Wyk³ad: 90","9","Zaliczenie","0","C"
"155","Bachelor in Business Administration (stacjonarne I stopnia)","Doing business in Africa and Arab countries","Wyk³ad: 30","3","Zaliczenie","0","C"
"156","Bachelor in Business Administration (stacjonarne I stopnia)","Doing business in Americas","Wyk³ad: 30","3","Zaliczenie","0","C"
"157","Bachelor in Business Administration (stacjonarne I stopnia)","Doing business in Asia","Wyk³ad: 30","3","Zaliczenie","0","C"
"158","Bachelor in Business Administration (stacjonarne I stopnia)","Doing business in Europe","Wyk³ad: 30","3","Zaliczenie","0","C"
"159","Bachelor in Business Administration (stacjonarne I stopnia)","International human resource management","Wyk³ad: 30","4","Egzamin","1","C"
"160","Bachelor in Business Administration (stacjonarne I stopnia)","Leadership in business","Wyk³ad: 30","4","Egzamin","1","C"
"161","Bachelor in Business Administration (stacjonarne I stopnia)","Suma","165","20","","",""
"162","Bachelor in Business Administration (stacjonarne I stopnia)","Suma (Kierunek
        + Specjalnoœæ)","225","30","","",""
"163","Bachelor in Business Administration (stacjonarne I stopnia)","Suma (Wyk³ad)","165","","","",""
"164","Ekonomia (stacjonarne I stopnia)","Historia gospodarcza","Wyk³ad: 30","3","Egzamin","1","A"
"165","Ekonomia (stacjonarne I stopnia)","Informatyka ekonomiczna","Æwiczenia: 30","3","Zaliczenie","1","B"
"166","Ekonomia (stacjonarne I stopnia)","Matematyka","Wyk³ad: 30
                                                                                Æwiczenia: 30","6","Egzamin","1","A"
"167","Ekonomia (stacjonarne I stopnia)","Metodyka pracy umys³owej","Æwiczenia: 30","3","Zaliczenie","1","A"
"168","Ekonomia (stacjonarne I stopnia)","Podstawy makroekonomii","Wyk³ad: 15
                                                                                Æwiczenia: 15","3","Zaliczenie","1","A"
"169","Ekonomia (stacjonarne I stopnia)","Podstawy zarz¹dzania","Wyk³ad: 30","3","Zaliczenie","1","A"
"170","Ekonomia (stacjonarne I stopnia)","Prawo","Wyk³ad: 30","3","Zaliczenie","1","A"
"171","Ekonomia (stacjonarne I stopnia)","Psychologia ekonomiczna","Wyk³ad: 30","3","Zaliczenie","1","B"
"172","Ekonomia (stacjonarne I stopnia)","Public relations","Wyk³ad: 15
                                                                                Æwiczenia: 15","3","Zaliczenie","1","B"
"173","Ekonomia (stacjonarne I stopnia)","Wychowanie fizyczne","Æwiczenia: 30","-","Zaliczenie","1","A"
"174","Ekonomia (stacjonarne I stopnia)","Suma","330","30","","",""
"175","Ekonomia (stacjonarne I stopnia)","Suma (Wyk³ad)","180","","","",""
"176","Ekonomia (stacjonarne I stopnia)","Suma (Æwiczenia)","150","","","",""
"177","Ekonomia (stacjonarne I stopnia)","Przedmiot","Liczba godzin","Punkty ECTS","Forma weryfikacji","Kod","Blok"
"178","Ekonomia (stacjonarne I stopnia)","Jêzyk obcy I","Æwiczenia: 30","2","Zaliczenie","1","D(B)"
"179","Ekonomia (stacjonarne I stopnia)","Jêzyk angielski","Æwiczenia: 30","2","Zaliczenie","3","D(B)"
"180","Ekonomia (stacjonarne I stopnia)","Jêzyk francuski","Æwiczenia: 30","2","Zaliczenie","3","D(B)"
"181","Ekonomia (stacjonarne I stopnia)","Jêzyk hiszpañski","Æwiczenia: 30","2","Zaliczenie","3","D(B)"
"182","Ekonomia (stacjonarne I stopnia)","Jêzyk niemiecki","Æwiczenia: 30","2","Zaliczenie","3","D(B)"
"183","Ekonomia (stacjonarne I stopnia)","Jêzyk rosyjski","Æwiczenia: 30","2","Zaliczenie","3","D(B)"
"184","Ekonomia (stacjonarne I stopnia)","Jêzyk obcy II","Æwiczenia: 30","2","Zaliczenie","1","D(B)"
"185","Ekonomia (stacjonarne I stopnia)","Jêzyk angielski","Æwiczenia: 30","2","Zaliczenie","3","D(B)"
"186","Ekonomia (stacjonarne I stopnia)","Jêzyk francuski","Æwiczenia: 30","2","Zaliczenie","3","D(B)"
"187","Ekonomia (stacjonarne I stopnia)","Jêzyk hiszpañski","Æwiczenia: 30","2","Zaliczenie","3","D(B)"
"188","Ekonomia (stacjonarne I stopnia)","Jêzyk niemiecki","Æwiczenia: 30","2","Zaliczenie","3","D(B)"
"189","Ekonomia (stacjonarne I stopnia)","Jêzyk rosyjski","Æwiczenia: 30","2","Zaliczenie","3","D(B)"
"190","Ekonomia (stacjonarne I stopnia)","Nauka o przedsiêbiorstwie","Wyk³ad: 30","3","Zaliczenie","1","B"
"191","Ekonomia (stacjonarne I stopnia)","Podstawy finansów","Wyk³ad: 15
                                                                                Æwiczenia: 15","5","Egzamin","1","B"
"192","Ekonomia (stacjonarne I stopnia)","Podstawy makroekonomii","Wyk³ad: 15
                                                                                Æwiczenia: 15","6","Egzamin","1","A"
"193","Ekonomia (stacjonarne I stopnia)","Podstawy mikroekonomii","Wyk³ad: 30
                                                                                Æwiczenia: 30","7","Egzamin","1","A"
"194","Ekonomia (stacjonarne I stopnia)","Socjologia","Wyk³ad: 30
                                                                                Æwiczenia: 15","5","Egzamin","1","A"
"195","Ekonomia (stacjonarne I stopnia)","Wychowanie fizyczne","Æwiczenia: 30","-","Zaliczenie","1","A"
"196","Ekonomia (stacjonarne I stopnia)","Suma","285","30","","",""
"197","Ekonomia (stacjonarne I stopnia)","Suma (Æwiczenia)","165","","","",""
"198","Ekonomia (stacjonarne I stopnia)","Suma (Wyk³ad)","120","","","",""
"199","Ekonomia (stacjonarne I stopnia)","Przedmiot","Liczba godzin","Punkty ECTS","Forma weryfikacji","Kod","Blok"
"200","Ekonomia (stacjonarne I stopnia)","Bankowoœæ","Wyk³ad: 15
                                                                                Æwiczenia: 15","3","Zaliczenie","1","B"
"201","Ekonomia (stacjonarne I stopnia)","Gospodarka regionalna","Wyk³ad: 15
                                                                                Æwiczenia: 15","3","Zaliczenie","1","B"
"202","Ekonomia (stacjonarne I stopnia)","Jêzyk obcy I","Æwiczenia: 30","2","Zaliczenie","1","D(B)"
"203","Ekonomia (stacjonarne I stopnia)","Jêzyk angielski","Æwiczenia: 30","2","Zaliczenie","3","D(B)"
"204","Ekonomia (stacjonarne I stopnia)","Jêzyk francuski","Æwiczenia: 30","2","Zaliczenie","3","D(B)"
"205","Ekonomia (stacjonarne I stopnia)","Jêzyk hiszpañski","Æwiczenia: 30","2","Zaliczenie","3","D(B)"
"206","Ekonomia (stacjonarne I stopnia)","Jêzyk niemiecki","Æwiczenia: 30","2","Zaliczenie","3","D(B)"
"207","Ekonomia (stacjonarne I stopnia)","Jêzyk rosyjski","Æwiczenia: 30","2","Zaliczenie","3","D(B)"
"208","Ekonomia (stacjonarne I stopnia)","Jêzyk obcy II","Æwiczenia: 30","2","Zaliczenie","1","D(B)"
"209","Ekonomia (stacjonarne I stopnia)","Jêzyk angielski","Æwiczenia: 30","2","Zaliczenie","3","D(B)"
"210","Ekonomia (stacjonarne I stopnia)","Jêzyk francuski","Æwiczenia: 30","2","Zaliczenie","3","D(B)"
"211","Ekonomia (stacjonarne I stopnia)","Jêzyk hiszpañski","Æwiczenia: 30","2","Zaliczenie","3","D(B)"
"212","Ekonomia (stacjonarne I stopnia)","Jêzyk niemiecki","Æwiczenia: 30","2","Zaliczenie","3","D(B)"
"213","Ekonomia (stacjonarne I stopnia)","Jêzyk rosyjski","Æwiczenia: 30","2","Zaliczenie","3","D(B)"
"214","Ekonomia (stacjonarne I stopnia)","Podstawy polityki gospodarczej","Wyk³ad: 15","1","Zaliczenie","1","B"
"215","Ekonomia (stacjonarne I stopnia)","Rachunkowoœæ finansowa","Wyk³ad: 30
                                                                                Æwiczenia: 15","5","Egzamin","1","B"
"216","Ekonomia (stacjonarne I stopnia)","Statystyka opisowa","Wyk³ad: 30
                                                                                Æwiczenia: 30","6","Egzamin","1","A"
"217","Ekonomia (stacjonarne I stopnia)","Ubezpieczenia","Wyk³ad: 15
                                                                                Æwiczenia: 15","3","Zaliczenie","1","B"
"218","Ekonomia (stacjonarne I stopnia)","Zabezpieczenie spo³eczne","Wyk³ad: 15
                                                                                Æwiczenia: 30","5","Egzamin","1","B"
"219","Ekonomia (stacjonarne I stopnia)","Suma","315","30","","",""
"220","Ekonomia (stacjonarne I stopnia)","Suma (Wyk³ad)","135","","","",""
"221","Ekonomia (stacjonarne I stopnia)","Suma (Æwiczenia)","180","","","",""
"222","Ekonomia (stacjonarne I stopnia)","Przedmiot","Liczba godzin","Punkty ECTS","Forma weryfikacji","Kod","Blok"
"223","Ekonomia (stacjonarne I stopnia)","Analiza ekonomiczna","Wyk³ad: 15
                                                                                Æwiczenia: 30","4","Egzamin","1","B"
"224","Ekonomia (stacjonarne I stopnia)","Ekonometria","Wyk³ad: 30
                                                                                Æwiczenia: 15","5","Egzamin","1","A"
"225","Ekonomia (stacjonarne I stopnia)","Jêzyk obcy I","Æwiczenia: 30","2","Zaliczenie","1","D(B)"
"226","Ekonomia (stacjonarne I stopnia)","Jêzyk angielski","Æwiczenia: 30","2","Zaliczenie","3","D(B)"
"227","Ekonomia (stacjonarne I stopnia)","Jêzyk francuski","Æwiczenia: 30","2","Zaliczenie","3","D(B)"
