"","Forma_i_poziom","Zajêcia","Forma zajêæ / liczba godzin","Forma zaliczenia","Punkty ECTS","...5","X1","X2","X3","X4","X5"
"17","Chemia (stacjonarne I stopnia)","Przedmiot humanizuj¹cy","Wyk³ad:
                    30","Zaliczenie z ocen¹","2","G",NA,NA,NA,NA,NA
"18","Chemia (stacjonarne I stopnia)","Student wybiera jeden przedmiot z aktualnej oferty","Student wybiera jeden przedmiot z aktualnej oferty","Student wybiera jeden przedmiot z aktualnej oferty","Student wybiera jeden przedmiot z aktualnej oferty","Student wybiera jeden przedmiot z aktualnej oferty",NA,NA,NA,NA,NA
"19","Chemia (stacjonarne I stopnia)","Piêkniejsza strona nauki","Wyk³ad:
                    30","Zaliczenie z ocen¹","2","F",NA,NA,NA,NA,NA
"20","Chemia (stacjonarne I stopnia)","Spotkania z fantastyk¹","Wyk³ad:
                    30","Zaliczenie z ocen¹","2","F",NA,NA,NA,NA,NA
"21","Chemia (stacjonarne I stopnia)","Podstawy Public Relations","Wyk³ad:
                    2","Zaliczenie z ocen¹","2","F",NA,NA,NA,NA,NA
"22","Chemia (stacjonarne I stopnia)","Rock'n'roll - kultura, muzyka, ludzie, wydarzenia","Wyk³ad:
                    30","Zaliczenie z ocen¹","2","F",NA,NA,NA,NA,NA
"23","Chemia (stacjonarne I stopnia)","Historia chemii j¹drowej","Wyk³ad:
                    30","Zaliczenie z ocen¹","2","F",NA,NA,NA,NA,NA
"24","Chemia (stacjonarne I stopnia)","Pracownik przysz³oœci","Wyk³ad:
                    30","Zaliczenie z ocen¹","2","F",NA,NA,NA,NA,NA
"25","Chemia (stacjonarne I stopnia)","Wychowanie fizyczne","Wychowanie fizyczne:
                    60","Zaliczenie z ocen¹","-","O",NA,NA,NA,NA,NA
"26","Chemia (stacjonarne I stopnia)","Suma","375","","24","",NA,NA,NA,NA,NA
"27","Chemia (stacjonarne I stopnia)","Zajêcia","Forma zajêæ / liczba godzin","Forma zaliczenia","Punkty ECTS","",NA,NA,NA,NA,NA
"28","Chemia (stacjonarne I stopnia)","Podstawy chemii nieorganicznej 1","Wyk³ad:
                    30                    
                                Proseminarium:
                    15","Egzamin                    
                                                    Zaliczenie z ocen¹","4","O",NA,NA,NA,NA,NA
"29","Chemia (stacjonarne I stopnia)","Podstawy chemii organicznej 1","Wyk³ad:
                    45                    
                                Æwiczenia:
                    30                    
                                Laboratorium:
                    120","Egzamin                    
                                                    Zaliczenie z ocen¹                    
                                                    Zaliczenie z ocen¹","14","O",NA,NA,NA,NA,NA
"30","Chemia (stacjonarne I stopnia)","Podstawy chemii fizycznej 1","Wyk³ad:
                    45                    
                                Æwiczenia:
                    30                    
                                Laboratorium:
                    45","Egzamin                    
                                                    Zaliczenie z ocen¹                    
                                                    Zaliczenie z ocen¹","8","O",NA,NA,NA,NA,NA
"31","Chemia (stacjonarne I stopnia)","Jêzyk angielski B1","Lektorat:
                    30","Zaliczenie z ocen¹","2","O",NA,NA,NA,NA,NA
"32","Chemia (stacjonarne I stopnia)","Suma","390","","28","",NA,NA,NA,NA,NA
"33","Chemia (stacjonarne I stopnia)","ANALITYKA CHEMICZNA",NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","Chemia (stacjonarne I stopnia)","Zajêcia","Forma zajêæ / liczba godzin","Forma zaliczenia","Punkty ECTS","",NA,NA,NA,NA,NA
"35","Chemia (stacjonarne I stopnia)","Przygotowanie próbki","Wyk³ad:
                    15                    
                                Laboratorium:
                    30","Zaliczenie z ocen¹                    
                                                    Zaliczenie z ocen¹","4","O",NA,NA,NA,NA,NA
"36","Chemia (stacjonarne I stopnia)","Przedmiot do wyboru","Suma godzin kontaktowych:
                    225","Zaliczenie z ocen¹","19","G",NA,NA,NA,NA,NA
"37","Chemia (stacjonarne I stopnia)","Analiza zanieczyszczeñ wód i gruntów","Wyk³ad:
                    15                    
                                Laboratorium:
                    45","Zaliczenie z ocen¹                    
                                                    Zaliczenie z ocen¹","5","F",NA,NA,NA,NA,NA
"38","Chemia (stacjonarne I stopnia)","Aspekty prawne stosowania prep. kosm.","Wyk³ad:
                    15","Zaliczenie z ocen¹","1","F",NA,NA,NA,NA,NA
"39","Chemia (stacjonarne I stopnia)","Internet","Laboratorium:
                    15","Zaliczenie z ocen¹","1","F",NA,NA,NA,NA,NA
"40","Chemia (stacjonarne I stopnia)","Krystalochemia","Wyk³ad:
                    15                    
                                Laboratorium:
                    30","Zaliczenie z ocen¹                    
                                                    Zaliczenie z ocen¹","4","F",NA,NA,NA,NA,NA
"41","Chemia (stacjonarne I stopnia)","Podstawy chemii œrodowiska","Wyk³ad:
                    15                    
                                Laboratorium:
                    30","Zaliczenie z ocen¹                    
                                                    Zaliczenie z ocen¹","4","F",NA,NA,NA,NA,NA
"42","Chemia (stacjonarne I stopnia)","Podstawy nauki o materia³ach","Wyk³ad:
                    15                    
                                Laboratorium:
                    30","Zaliczenie z ocen¹                    
                                                    Zaliczenie z ocen¹","4","F",NA,NA,NA,NA,NA
"43","Chemia (stacjonarne I stopnia)","Spektroskopia molekularna","Wyk³ad:
                    15                    
                                Laboratorium:
                    30","Zaliczenie z ocen¹                    
                                                    Zaliczenie z ocen¹","4","F",NA,NA,NA,NA,NA
"44","Chemia (stacjonarne I stopnia)","Suma","270","","23","",NA,NA,NA,NA,NA
"45","Chemia (stacjonarne I stopnia)","CHEMIA BIOLOGICZNA",NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","Chemia (stacjonarne I stopnia)","Zajêcia","Forma zajêæ / liczba godzin","Forma zaliczenia","Punkty ECTS","",NA,NA,NA,NA,NA
"47","Chemia (stacjonarne I stopnia)","Chemia biologiczna","Wyk³ad:
                    15                    
                                Laboratorium:
                    45","Zaliczenie z ocen¹                    
                                                    Zaliczenie z ocen¹","4","O",NA,NA,NA,NA,NA
"48","Chemia (stacjonarne I stopnia)","Przedmiot do wyboru","Suma godzin kontaktowych:
                    225","Zaliczenie z ocen¹","19","G",NA,NA,NA,NA,NA
"49","Chemia (stacjonarne I stopnia)","Analiza zanieczyszczeñ wód i gruntów","Wyk³ad:
                    15                    
                                Laboratorium:
                    45","Zaliczenie z ocen¹                    
                                                    Zaliczenie z ocen¹","5","F",NA,NA,NA,NA,NA
"50","Chemia (stacjonarne I stopnia)","Internet","Laboratorium:
                    15","Zaliczenie z ocen¹","1","F",NA,NA,NA,NA,NA
"51","Chemia (stacjonarne I stopnia)","Materia³y Biomedyczne","Wyk³ad:
                    15                    
                                Laboratorium:
                    30","Zaliczenie z ocen¹                    
                                                    Zaliczenie z ocen¹","4","F",NA,NA,NA,NA,NA
"52","Chemia (stacjonarne I stopnia)","Podstawy chemii œrodowiska","Wyk³ad:
                    15                    
                                Laboratorium:
                    30","Zaliczenie z ocen¹                    
                                                    Zaliczenie z ocen¹","4","F",NA,NA,NA,NA,NA
"53","Chemia (stacjonarne I stopnia)","Spektroskopia Zwi¹zków Organicznych","Wyk³ad:
                    30                    
                                Laboratorium:
                    30","Zaliczenie z ocen¹                    
                                                    Zaliczenie z ocen¹","5","F",NA,NA,NA,NA,NA
"54","Chemia (stacjonarne I stopnia)","Œrodki Ochrony Roœlin","Wyk³ad:
                    15                    
                                Laboratorium:
                    30","Zaliczenie z ocen¹                    
                                                    Zaliczenie z ocen¹","4","F",NA,NA,NA,NA,NA
"55","Chemia (stacjonarne I stopnia)","Suma","285","","23","",NA,NA,NA,NA,NA
"56","Chemia (stacjonarne I stopnia)","CHEMIA KOSMETYCZNA",NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","Chemia (stacjonarne I stopnia)","Zajêcia","Forma zajêæ / liczba godzin","Forma zaliczenia","Punkty ECTS","",NA,NA,NA,NA,NA
"58","Chemia (stacjonarne I stopnia)","Aspekty prawne stosowania prep. kosm.","Wyk³ad:
                    15","Zaliczenie z ocen¹","1","O",NA,NA,NA,NA,NA
"59","Chemia (stacjonarne I stopnia)","Preparatyka kosmetyczna","Wyk³ad:
                    30                    
                                Laboratorium:
                    60","Zaliczenie z ocen¹                    
                                                    Zaliczenie z ocen¹","7","O",NA,NA,NA,NA,NA
"60","Chemia (stacjonarne I stopnia)","Przedmiot do wyboru","Suma godzin kontaktowych:
                    195","Zaliczenie z ocen¹","17","G",NA,NA,NA,NA,NA
"61","Chemia (stacjonarne I stopnia)","Internet","Laboratorium:
                    15","Zaliczenie z ocen¹","1","F",NA,NA,NA,NA,NA
"62","Chemia (stacjonarne I stopnia)","Krystalochemia","Wyk³ad:
                    15                    
                                Laboratorium:
                    30","Zaliczenie z ocen¹                    
                                                    Zaliczenie z ocen¹","4","F",NA,NA,NA,NA,NA
"63","Chemia (stacjonarne I stopnia)","Materia³y Biomedyczne","Wyk³ad:
                    15                    
                                Laboratorium:
                    30","Zaliczenie z ocen¹                    
                                                    Zaliczenie z ocen¹","4","F",NA,NA,NA,NA,NA
"64","Chemia (stacjonarne I stopnia)","Przygotowanie próbki","Wyk³ad:
                    15                    
                                Laboratorium:
                    30","Zaliczenie z ocen¹                    
                                                    Zaliczenie z ocen¹","4","F",NA,NA,NA,NA,NA
"65","Chemia (stacjonarne I stopnia)","Spektroskopia molekularna","Wyk³ad:
                    15                    
                                Laboratorium:
                    30","Zaliczenie z ocen¹                    
                                                    Zaliczenie z ocen¹","4","F",NA,NA,NA,NA,NA
"66","Chemia (stacjonarne I stopnia)","Suma","300","","25","",NA,NA,NA,NA,NA
"67","Chemia (stacjonarne I stopnia)","CHEMIA MATERIA£OWA",NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","Chemia (stacjonarne I stopnia)","Zajêcia","Forma zajêæ / liczba godzin","Forma zaliczenia","Punkty ECTS","",NA,NA,NA,NA,NA
"69","Chemia (stacjonarne I stopnia)","Podstawy chemii i technologii tworzyw sztucznych","Wyk³ad:
                    30                    
                                Laboratorium:
                    15                    
                                Æwiczenia terenowe:
                    15","Zaliczenie z ocen¹                    
                                                    Zaliczenie z ocen¹                    
                                                    Zaliczenie z ocen¹","5","O",NA,NA,NA,NA,NA
"70","Chemia (stacjonarne I stopnia)","Przedmiot do wyboru","Suma godzin kontaktowych:
                    210","Zaliczenie z ocen¹","18","G",NA,NA,NA,NA,NA
"71","Chemia (stacjonarne I stopnia)","Internet","Laboratorium:
                    15","Zaliczenie z ocen¹","1","F",NA,NA,NA,NA,NA
"72","Chemia (stacjonarne I stopnia)","Materia³y Biomedyczne","Wyk³ad:
                    15                    
                                Laboratorium:
                    30","Zaliczenie z ocen¹                    
                                                    Zaliczenie z ocen¹","4","F",NA,NA,NA,NA,NA
"73","Chemia (stacjonarne I stopnia)","Podstawy nauki o materia³ach","Wyk³ad:
                    15                    
                                Laboratorium:
                    30","Zaliczenie z ocen¹                    
                                                    Zaliczenie z ocen¹","4","F",NA,NA,NA,NA,NA
"74","Chemia (stacjonarne I stopnia)","Przygotowanie próbki","Wyk³ad:
                    15                    
                                Laboratorium:
                    30","Zaliczenie z ocen¹                    
                                                    Zaliczenie z ocen¹","4","F",NA,NA,NA,NA,NA
"75","Chemia (stacjonarne I stopnia)","Spektroskopia Zwi¹zków Organicznych","Wyk³ad:
                    30                    
                                Laboratorium:
                    30","Zaliczenie z ocen¹                    
                                                    Zaliczenie z ocen¹","5","F",NA,NA,NA,NA,NA
"76","Chemia (stacjonarne I stopnia)","Suma","270","","23","",NA,NA,NA,NA,NA
"77","Chemia (stacjonarne I stopnia)","CHEMIA OGÓLNA",NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","Chemia (stacjonarne I stopnia)","Zajêcia","Forma zajêæ / liczba godzin","Forma zaliczenia","Punkty ECTS","",NA,NA,NA,NA,NA
"79","Chemia (stacjonarne I stopnia)","Krystalochemia","Wyk³ad:
                    15                    
                                Laboratorium:
                    30","Zaliczenie z ocen¹                    
                                                    Zaliczenie z ocen¹","4","O",NA,NA,NA,NA,NA
"80","Chemia (stacjonarne I stopnia)","Przedmiot do wyboru","Suma godzin kontaktowych:
                    195","Zaliczenie z ocen¹","17","G",NA,NA,NA,NA,NA
"81","Chemia (stacjonarne I stopnia)","Podstawy chemii œrodowiska","Wyk³ad:
                    15                    
                                Laboratorium:
                    30","Zaliczenie z ocen¹                    
                                                    Zaliczenie z ocen¹","4","F",NA,NA,NA,NA,NA
"82","Chemia (stacjonarne I stopnia)","Podstawy chemii i technologii tworzyw sztucznych","Wyk³ad:
                    30                    
                                Laboratorium:
                    15                    
                                Æwiczenia terenowe:
                    15","Zaliczenie z ocen¹                    
                                                    Zaliczenie z ocen¹                    
                                                    Zaliczenie z ocen¹","5","F",NA,NA,NA,NA,NA
"83","Chemia (stacjonarne I stopnia)","Podstawy nauki o materia³ach","Wyk³ad:
                    15                    
                                Laboratorium:
                    30","Zaliczenie z ocen¹                    
                                                    Zaliczenie z ocen¹","4","F",NA,NA,NA,NA,NA
"84","Chemia (stacjonarne I stopnia)","Przygotowanie próbki","Wyk³ad:
                    15                    
                                Laboratorium:
                    30","Zaliczenie z ocen¹                    
                                                    Zaliczenie z ocen¹","4","F",NA,NA,NA,NA,NA
"85","Chemia (stacjonarne I stopnia)","Spektroskopia molekularna","Wyk³ad:
                    15                    
                                Laboratorium:
                    30","Zaliczenie z ocen¹                    
                                                    Zaliczenie z ocen¹","4","F",NA,NA,NA,NA,NA
"86","Chemia (stacjonarne I stopnia)","Suma","240","","21","",NA,NA,NA,NA,NA
"87","Chemia (stacjonarne I stopnia)","CHEMIA S¥DOWA",NA,NA,NA,NA,NA,NA,NA,NA,NA
"88","Chemia (stacjonarne I stopnia)","Zajêcia","Forma zajêæ / liczba godzin","Forma zaliczenia","Punkty ECTS","",NA,NA,NA,NA,NA
"89","Chemia (stacjonarne I stopnia)","Metody spektroskopowe w analizie kryminalistycznej","Wyk³ad:
                    30                    
                                Laboratorium:
                    30","Zaliczenie z ocen¹                    
                                                    Zaliczenie z ocen¹","5","O",NA,NA,NA,NA,NA
"90","Chemia (stacjonarne I stopnia)","Podstawy badañ operacyjnych","Wyk³ad:
                    15","Zaliczenie z ocen¹","1","O",NA,NA,NA,NA,NA
"91","Chemia (stacjonarne I stopnia)","Przedmiot do wyboru","Suma godzin kontaktowych:
                    105","Zaliczenie z ocen¹","9","G",NA,NA,NA,NA,NA
"92","Chemia (stacjonarne I stopnia)","Internet","Laboratorium:
                    15","Zaliczenie z ocen¹","1","F",NA,NA,NA,NA,NA
"93","Chemia (stacjonarne I stopnia)","Materia³y Biomedyczne","Wyk³ad:
                    15                    
                                Laboratorium:
                    30","Zaliczenie z ocen¹                    
                                                    Zaliczenie z ocen¹","4","F",NA,NA,NA,NA,NA
"94","Chemia (stacjonarne I stopnia)","Spektroskopia molekularna","Wyk³ad:
                    15                    
                                Laboratorium:
                    30","Zaliczenie z ocen¹                    
                                                    Zaliczenie z ocen¹","4","F",NA,NA,NA,NA,NA
"95","Chemia (stacjonarne I stopnia)","Suma","180","","15","",NA,NA,NA,NA,NA
"96","Chemia (stacjonarne I stopnia)","MONITORING CHEMICZNY ŒRODOWISKA",NA,NA,NA,NA,NA,NA,NA,NA,NA
"97","Chemia (stacjonarne I stopnia)","Zajêcia","Forma zajêæ / liczba godzin","Forma zaliczenia","Punkty ECTS","",NA,NA,NA,NA,NA
"98","Chemia (stacjonarne I stopnia)","Analiza zanieczyszczeñ wód i gruntów","Wyk³ad:
                    15                    
                                Laboratorium:
                    45","Zaliczenie z ocen¹                    
                                                    Zaliczenie z ocen¹","5","O",NA,NA,NA,NA,NA
"99","Chemia (stacjonarne I stopnia)","Zmiany klimatu","Wyk³ad:
                    30                    
                                Proseminarium:
                    15","Zaliczenie z ocen¹                    
                                                    Zaliczenie z ocen¹","3","O",NA,NA,NA,NA,NA
"100","Chemia (stacjonarne I stopnia)","Przedmiot do wyboru","Suma godzin kontaktowych:
                    135","Zaliczenie z ocen¹","12","G",NA,NA,NA,NA,NA
"101","Chemia (stacjonarne I stopnia)","Krystalochemia","Wyk³ad:
                    15                    
                                Laboratorium:
                    30","Zaliczenie z ocen¹                    
                                                    Zaliczenie z ocen¹","4","F",NA,NA,NA,NA,NA
"102","Chemia (stacjonarne I stopnia)","Podstawy chemii œrodowiska","Wyk³ad:
                    15                    
                                Laboratorium:
                    30","Zaliczenie z ocen¹                    
                                                    Zaliczenie z ocen¹","4","F",NA,NA,NA,NA,NA
"103","Chemia (stacjonarne I stopnia)","Spektroskopia molekularna","Wyk³ad:
                    15                    
                                Laboratorium:
                    30","Zaliczenie z ocen¹                    
                                                    Zaliczenie z ocen¹","4","F",NA,NA,NA,NA,NA
"104","Chemia (stacjonarne I stopnia)","Suma","240","","20","",NA,NA,NA,NA,NA
"105","Chemia (stacjonarne I stopnia)","SYNTEZA I ANALIZA CHEMICZNA",NA,NA,NA,NA,NA,NA,NA,NA,NA
"106","Chemia (stacjonarne I stopnia)","Zajêcia","Forma zajêæ / liczba godzin","Forma zaliczenia","Punkty ECTS","",NA,NA,NA,NA,NA
"107","Chemia (stacjonarne I stopnia)","Analiza rentgenograficzna","Wyk³ad:
                    15                    
                                Laboratorium:
                    30","Zaliczenie z ocen¹                    
                                                    Zaliczenie z ocen¹","4","O",NA,NA,NA,NA,NA
"108","Chemia (stacjonarne I stopnia)","Przedmiot do wyboru","Suma godzin kontaktowych:
                    210","Zaliczenie z ocen¹","18","G",NA,NA,NA,NA,NA
"109","Chemia (stacjonarne I stopnia)","Krystalochemia","Wyk³ad:
                    15                    
                                Laboratorium:
                    30","Zaliczenie z ocen¹                    
                                                    Zaliczenie z ocen¹","4","F",NA,NA,NA,NA,NA
"110","Chemia (stacjonarne I stopnia)","Podstawy chemii i technologii tworzyw sztucznych","Wyk³ad:
                    30                    
                                Laboratorium:
                    15                    
                                Æwiczenia terenowe:
                    15","Zaliczenie z ocen¹                    
                                                    Zaliczenie z ocen¹                    
                                                    Zaliczenie z ocen¹","5","F",NA,NA,NA,NA,NA
"111","Chemia (stacjonarne I stopnia)","Podstawy nauki o materia³ach","Wyk³ad:
                    15                    
                                Laboratorium:
                    30","Zaliczenie z ocen¹                    
                                                    Zaliczenie z ocen¹","4","F",NA,NA,NA,NA,NA
"112","Chemia (stacjonarne I stopnia)","Spektroskopia Zwi¹zków Organicznych","Wyk³ad:
                    30                    
                                Laboratorium:
                    30","Zaliczenie z ocen¹                    
                                                    Zaliczenie z ocen¹","5","F",NA,NA,NA,NA,NA
"113","Chemia (stacjonarne I stopnia)","Suma","255","","22","",NA,NA,NA,NA,NA
"114","Chemia (stacjonarne I stopnia)","Zajêcia","Forma zajêæ / liczba godzin","Forma zaliczenia","Punkty ECTS","",NA,NA,NA,NA,NA
"115","Chemia (stacjonarne I stopnia)","Podstawy chemii fizycznej 2","Wyk³ad:
                    45                    
                                Æwiczenia:
                    30                    
                                Laboratorium:
                    45","Egzamin                    
                                                    Zaliczenie z ocen¹                    
                                                    Zaliczenie z ocen¹","8","O",NA,NA,NA,NA,NA
"116","Chemia (stacjonarne I stopnia)","Podstawy chemii organicznej 2","Wyk³ad:
                    30                    
                                Æwiczenia:
                    30","Egzamin                    
                                                    Zaliczenie z ocen¹","5","O",NA,NA,NA,NA,NA
"117","Chemia (stacjonarne I stopnia)","Podstawy chemii nieorganicznej 2","Wyk³ad:
                    30                    
                                Proseminarium:
                    15                    
                                Laboratorium:
                    75","Egzamin                    
                                                    Zaliczenie z ocen¹                    
                                                    Zaliczenie z ocen¹","8","O",NA,NA,NA,NA,NA
"118","Chemia (stacjonarne I stopnia)","Jêzyk angielski B21","Lektorat:
                    30","Zaliczenie z ocen¹","2","O",NA,NA,NA,NA,NA
"119","Chemia (stacjonarne I stopnia)","Suma","330","","23","",NA,NA,NA,NA,NA
"120","Chemia (stacjonarne I stopnia)","ANALITYKA CHEMICZNA",NA,NA,NA,NA,NA,NA,NA,NA,NA
"121","Chemia (stacjonarne I stopnia)","Zajêcia","Forma zajêæ / liczba godzin","Forma zaliczenia","Punkty ECTS","",NA,NA,NA,NA,NA
"122","Chemia (stacjonarne I stopnia)","Monitoring œrodowiska","Wyk³ad:
                    15                    
                                Æwiczenia terenowe:
                    30","Zaliczenie z ocen¹                    
                                                    Zaliczenie z ocen¹","4","O",NA,NA,NA,NA,NA
"123","Chemia (stacjonarne I stopnia)","Spektrometria atomowa","Wyk³ad:
                    15                    
                                Laboratorium:
                    30","Zaliczenie z ocen¹                    
                                                    Zaliczenie z ocen¹","4","O",NA,NA,NA,NA,NA
"124","Chemia (stacjonarne I stopnia)","Przedmiot do wyboru","Suma godzin kontaktowych:
                    195","Zaliczenie z ocen¹","16","G",NA,NA,NA,NA,NA
"125","Chemia (stacjonarne I stopnia)","Biochemia z elementami biologii","Wyk³ad:
                    15                    
                                Proseminarium:
                    15                    
                                Laboratorium:
                    30","Zaliczenie z ocen¹                    
                                                    Zaliczenie z ocen¹                    
                                                    Zaliczenie z ocen¹","5","F",NA,NA,NA,NA,NA
"126","Chemia (stacjonarne I stopnia)","Materia³y biologicznie czynne i ich analiza","Wyk³ad:
                    15                    
                                Laboratorium:
                    30","Zaliczenie z ocen¹                    
                                                    Zaliczenie z ocen¹","4","F",NA,NA,NA,NA,NA
"127","Chemia (stacjonarne I stopnia)","Metrologia w praktyce","Wyk³ad:
                    15                    
                                Æwiczenia:
                    15                    
                                Laboratorium:
                    15","Zaliczenie z ocen¹                    
                                                    Zaliczenie z ocen¹                    
                                                    Zaliczenie z ocen¹","4","F",NA,NA,NA,NA,NA
"128","Chemia (stacjonarne I stopnia)","Toksykologia","Wyk³ad:
                    30","Zaliczenie z ocen¹","2","F",NA,NA,NA,NA,NA
"129","Chemia (stacjonarne I stopnia)","Zarz¹dzanie badaniami, kontrol¹ jakoœci oraz produkcj¹ w przemyœle kosmetycznym i chemii gospodarczej","Konwersatorium:
                    15","Zaliczenie z ocen¹","1","F",NA,NA,NA,NA,NA
"130","Chemia (stacjonarne I stopnia)","Suma","285","","24","",NA,NA,NA,NA,NA
"131","Chemia (stacjonarne I stopnia)","CHEMIA BIOLOGICZNA",NA,NA,NA,NA,NA,NA,NA,NA,NA
"132","Chemia (stacjonarne I stopnia)","Zajêcia","Forma zajêæ / liczba godzin","Forma zaliczenia","Punkty ECTS","",NA,NA,NA,NA,NA
"133","Chemia (stacjonarne I stopnia)","Chemia bionieorganiczna","Wyk³ad:
                    15                    
                                Laboratorium:
                    30","Zaliczenie z ocen¹                    
                                                    Zaliczenie z ocen¹","4","O",NA,NA,NA,NA,NA
"134","Chemia (stacjonarne I stopnia)","Krystalochemia organiczna","Wyk³ad:
                    15                    
                                Laboratorium:
                    30","Zaliczenie z ocen¹                    
                                                    Zaliczenie z ocen¹","4","O",NA,NA,NA,NA,NA
"135","Chemia (stacjonarne I stopnia)","Przedmiot do wyboru","Suma godzin kontaktowych:
                    210","Zaliczenie z ocen¹","18","G",NA,NA,NA,NA,NA
"136","Chemia (stacjonarne I stopnia)","Chemia komórki","Wyk³ad:
                    15                    
                                Laboratorium:
                    30","Zaliczenie z ocen¹                    
                                                    Zaliczenie z ocen¹","4","F",NA,NA,NA,NA,NA
"137","Chemia (stacjonarne I stopnia)","Chemia procesów biotechnologicznych","Wyk³ad:
                    15                    
                                Laboratorium:
                    30","Zaliczenie z ocen¹                    
                                                    Zaliczenie z ocen¹","4","F",NA,NA,NA,NA,NA
"138","Chemia (stacjonarne I stopnia)","Kataliza w procesach przemys³owych i ochronie œrodowiska","Wyk³ad:
                    15                    
                                Laboratorium:
                    30","Zaliczenie z ocen¹                    
                                                    Zaliczenie z ocen¹","4","F",NA,NA,NA,NA,NA
"139","Chemia (stacjonarne I stopnia)","Materia³y biologicznie czynne i ich analiza","Wyk³ad:
                    15                    
                                Laboratorium:
                    30","Zaliczenie z ocen¹                    
                                                    Zaliczenie z ocen¹","4","F",NA,NA,NA,NA,NA
"140","Chemia (stacjonarne I stopnia)","Metrologia w praktyce","Wyk³ad:
                    15                    
                                Æwiczenia:
                    15                    
                                Laboratorium:
                    15","Zaliczenie z ocen¹                    
                                                    Zaliczenie z ocen¹                    
                                                    Zaliczenie z ocen¹","4","F",NA,NA,NA,NA,NA
"141","Chemia (stacjonarne I stopnia)","Toksykologia","Wyk³ad:
                    30","Zaliczenie z ocen¹","2","F",NA,NA,NA,NA,NA
"142","Chemia (stacjonarne I stopnia)","Zwi¹zki powierzchniowo czynne","Wyk³ad:
                    15                    
                                Laboratorium:
                    30","Zaliczenie z ocen¹                    
                                                    Zaliczenie z ocen¹","4","F",NA,NA,NA,NA,NA
